Comment,Designator,Footprint,LCSC Part #
1.02R,R9 R10 U5 R6,1206,
1.8pF,C5 C12,0402,
1K,R8,0402,
1N4148,D6,SOD3716X135N,
1nF,C6,0603,
1uF,C21,0402,
2.4pF,C14,0402,
2.5nH,L3,0402,
3.3pF,C1 C2,0402,
3pF,C9,0603,
4.7nH,L2,0402,
4.7uF,C24 C29,1206,
5.6pF,C8,0402,
9.1nH,L1,0402,
10K,R4 R5 R7,0402,
10nF,C22,0402,
10pF,C10 C11,0402,
10uF,C23 C28 C31 C32,4MM_SMD_ECAP,
15nH,L5,0402,
15uH,L6,0805,
32MHz,Y1,SMD3225-4P,
39pF,C3 C7,0402,
47nF,C15,0603,
47nH,L4,0603,
47pF,C13,0603,
68nH,L7,0603,
100R,R1 R2 R14,0402,
100nF,C4 C17 C19 C20 C26 C30 C33 C34,0402,
100uH,L8,L_SMD 7X7.8MM,
120R,R3,0805,
220nF,C25,0603,
470nF,C16,0402,
470nF,C27,0805,
CN3791,U3,SOP100P600X175-10N,
DEBUG,J3,HEADER_DEBUG_SMD,
DW01A-G,U6,SOT95P280X135-6N,
FS8205A,U4,SOT95P280X125-6N,
HMC8038LP4CETR,U1,QFN65P400X400X90-17N,
S2B-PH-SM4-TB_LF__SN_,J6,S2BPHSM4TBLFSN,
SI2301CDS-T1-GE3,Q1 Q2 Q3,SOT-23,
SM04B-SRSS-TB_LF__SN_,J7 J10,SM04B-SRSS-TB(LFSN),
SS54,D1 D3 D4 D5,SMA(DO-214AC),
STM32WLE5CCU6,U2,QFN50P700X700X60-49N,
U.FL-R-SMT-1_80_,J1,UFLRSMT180,
