Designator,Mid X,Mid Y,Layer,Rotation
C1,29.34, 6.35,Top,90.0
C2,29.34, 8.89,Top,90.0
C3,27.18, 8.89,Top,90.0
C4,25.78, 8.89,Top,90.0
C5,28.83,16.76,Top,90.0
C6,23.50, 7.62,Top,270.0
C7,27.81,19.18,Top,90.0
C8,28.83,19.18,Top,270.0
C9,29.08,21.97,Top,90.0
C10,35.18,27.05,Top,270.0
C11,35.18,29.59,Top,90.0
C12,24.64,19.18,Top,270.0
C13,35.18,21.97,Top,270.0
C14,25.78,16.76,Top,90.0
C15,33.15,21.97,Top,270.0
C16,24.26,43.18,Top,270.0
C17,23.50,19.18,Top,270.0
C19,21.97,26.16,Top,270.0
C20,26.04,35.31,Top,90.0
C21,29.34,43.18,Top,90.0
C22,31.88,43.18,Top,90.0
C23,10.29,63.50,Top,270.0
C24,14.61,60.96,Top,270.0
C25, 4.32,50.80,Top,270.0
C26, 7.37,55.88,Top,270.0
C27,14.61,66.04,Top,90.0
C28,35.18,53.34,Top,270.0
C29,30.61,53.34,Top,90.0
C30,49.53,55.88,Top,270.0
C31,41.53,53.34,Top,270.0
C32,40.77,43.18,Top,270.0
C33,46.61,60.96,Top,270.0
C34,44.58,43.18,Top,270.0
D1, 5.21,63.50,Top,270.0
D3,17.91,63.50,Top,270.0
D4,21.72,63.50,Top,270.0
D5,46.61,53.34,Top,270.0
D6,22.48,53.34,Top,90.0
J1,26.80, 3.30,Top,180.0
J3,12.95,43.18,Top,180.0
J6,45.47,70.87,Top,0.0
J7,40.01, 1.14,Top,0.0
J10,32.26, 1.14,Top,0.0
L1,27.18, 6.35,Top,90.0
L2,27.81,16.76,Top,90.0
L3,27.81,21.59,Top,90.0
L4,31.12,21.97,Top,90.0
L5,25.78,19.18,Top,90.0
L6,21.72,43.18,Top,270.0
L7,26.80,43.05,Top,270.0
L8,28.07,63.50,Top,0.0
Q1,35.69,11.43,Top,270.0
Q2,19.18,55.88,Top,270.0
Q3,19.18,50.80,Top,270.0
R1,33.15,11.43,Top,270.0
R2,25.78, 6.35,Top,270.0
R3, 6.86,50.80,Top,90.0
R4, 5.46,55.88,Top,90.0
R5, 3.56,55.88,Top,270.0
R6,27.56,53.34,Top,270.0
R7,25.27,53.34,Top,270.0
R8,49.53,50.80,Top,270.0
R9,38.23,11.43,Top,90.0
R10,40.77,11.43,Top,90.0
R14,49.53,60.96,Top,90.0
U1,26.80,12.70,Top,90.0
U2,26.80,29.21,Top,0.0
U3,12.83,53.34,Top,0.0
U4,35.18,60.96,Top,0.0
U5,35.18,43.18,Top,90.0
U6,41.53,60.96,Top,0.0
Y1,37.34,28.32,Top,90.0
