Comment,Designator,Footprint,LCSC Part #
3.3pF,C1 C2,402,C172822
10pF,C10 C11,402,C32949
47pF,C13,603,C1671
2.4pF,C14,402,C48346
47nF,C15,603,C1622
470nF,C16,402,C13967
1uF,C21,402,C52923
10nF,C22,402,C15195
10uF,C23 C28 C31 C32,"SMD,D4xL5.8mm",C401709
4.7uF,C24 C29,1206,C29823
220nF,C25,603,C21120
470nF,C27,805,C13967
39pF,C3 C7,402,C1563
100nF,C4 C17 C19 C20 C26 C30 C33 C34,402,C307331
1.8pF,C5 C12,402,C147346
1nF,C6,603,C1588
5.6pF,C8,402,C161329
3pF,C9,603,C376785
SS54,D1 D3 D4 D5,SMA(DO-214AC),C22452
1N4148,D6,SOD-123,C81598
U.FL-R-SMT-1(80),J1,UFLRSMT180,C88374
DEBUG,J3,"SMD,P=1.27mm",C2881912
S2B-PH-SM4-TB(LF),J6,"SMD,P=2mm",C295747
SM04B-SRSS-TB(LF),J7 J10,SM04B-SRSS-TB(LFSN),C160404
9.1nH,L1,402,C113059
4.7nH,L2,402,C97989
2.5nH,L3,402,C237342
47nH,L4,603,C98076
15nH,L5,402,C1330450
15uH,L6,805,C531290
68nH,L7,603,C13415
100uH,L8,L_SMD 7X7.8MM,C2929443
SI2301CDS-T1-GE3,Q1 Q2 Q3,SOT-23,C10487
100R,R1 R2 R14,402,C25076
120R,R3,805,C17437
10K,R4 R5 R7,402,C25744
1K,R8,402,C11702
1.02R,R9 R10 R6,1206,C323217
HMC8038LP4CETR,U1,QFN65P400X400X90-17N,C208270
STM32WLE5CCU6,U2,QFN50P700X700X60-49N,C2888218
CN3791,U3,SSOP-10-150mil,C154992
FS8205A,U4,SOT-23-6L,C2830320
HT7333-1,U5,SOT-89-3,C77777
DW01A-G,U6,SOT-23-6L,C61503
32MHz,Y1,SMD2016-4P,C255895
